Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,yes,TRAVEL_RARELY,1102,sale,1,2,ls,1,1,2,f,94,3,2,sales exe,4,Single,5993,19479,8,Y,yes,,3,1,80,0,8,0,1,6,4,0,5
49,no,TRAVEL_FREQUENTLY,279,Research & Development,8,1,LIFE SCIENCES,1,2,3,MALE,61,2,2,Research Scientist,2,MARRIED,5130,24907,1,Y,0,23,4,4,80,1,10,3,3,10,7,1,7
37,YES,Travel_Rarely,1373,R&D,2,2,OTHER,1,4,4,m,92,2,1,Lab Technician,3,Single,2090,2396,6,Y,,15,3,2,80,0,7,3,3,0,0,0,0
33,no,travel_frequently,1392,research & development,3,4,Life Sciences,1,5,4,FEMALE,56,3,1,research scientist,3,married,2909,23159,1,Y,YES,11,3,3,80,0,8,3,3,8,7,3,0
27,no,rare,591,research & development,,1,Medical,1,7,1,m,40,3,1,LABORATORY TECHNICIAN,2,married,3468,16632,9,Y,no,12,3,4,80,1,6,3,3,2,2,2,2
32,no,TRAVEL_FREQUENTLY,1005,Research & Development,2,2,LS,1,8,4?,Male,79,3,1,Lab Technician,4,Single,3068,11864,0,Y,NO,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,1324,research & development,3,3,med,1,10,3,F,81,4,1,lab technician,1,married,2670,9964,4,Y,yes,20,4,1,80,3,12,3,,1,0,0,0
30,0,travel_rarely,1358,RESEARCH & DEVELOPMENT,24,1,ls,1,11,4,m,67,3,,laboratory technician,3,divorced,2693,13335,1,Y,NO,22,4,2,80,1,1,2,3,1,0,0,0
38,No,travel_frequently,216,R&D,23,3,LS,1,12,4,m,44,2,3,MANUFACTURING DIRECTOR,3,single,9526,8787,0,Y,NO,21,4,2,80,0,10,2,3,9,7,1,8
36,0,TRAVEL_RARELY,1299,,27,3,Medical,1,13,3,m,94,3,2,healthcare representative,3,married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,0,travel_rarely,809,RESEARCH & DEVELOPMENT,16,3,medical,1,14,1,M,84,4,1,laboratory technician,2,married,2426,16479,0,Y,0,13,3,3,80,1,6,5,3,5,4,0,3
29,no,TRAVEL_RARELY,153,Research & Development,15,,life sciences,1,15,4,Female,49,2,2,LABORATORY TECHNICIAN,3,Single,4193,12682,0,Y,YES,12,3,4,80,0,10,3,3,9,5,0,8
31,NO,travel_rarely,670?,R&D,26,1,life sciences,1,16,1,M,31,3,1,Research scientist,3,divorced,2911,15170,1,Y,NO,17,3,4,80,1,5,1,2,5,2,4,3
34,0,Travel_Rarely,1346,research & development,19,2,MED,1,18,2,M,93,3,1,LABORATORY TECHNICIAN,4,DIVORCED,2661,8758,0,Y,0,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,TRAVEL_RARELY,103,r&d,24,3,life sciences,1,19,3,MALE,50,2,1,Laboratory Technician,3,single,2028,12947,5,Y,yes,,3,2,80,0,6,4,3,4,2,0,3
29,0,travel_rarely,1389,r&d,21,4,life sciences,1,20,2,F,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,no,rare,334,research & development,5,2,LIFE SCIENCES,1,21,1,m,80,4,1,Research scientist,2,DIVORCED,3298,15053,0,Y,yes,12,3,4,80,2,7,5,2,6,2,0,5
22,NO,Nil,1123,r&d,16,2,MEDICAL,1,22,4,m,96,4,1,Lab Technician,4,DIVORCED,2935,7324,1,Y,Yes,13,3,2_,80,2,1,2,2,1,0,0,0
53,No,rare,1219,Sales,2,4,life sciences,1,23,1,f,78,2,4_,MANAGER,4,MARRIED,15427,22021_,2,Y,0,16,3,3,80,0,31_,3,3,25,8?,3,7
38,no,rare,371,RESEARCH & DEVELOPMENT,2,3,LIFE SCIENCES,1,24,4,M,45,3,1,RESEARCH SCIENTIST,4,single,3944,4306,5,Y,1,11,3,3,80,0,6,3,3,3,2,1,2
24,No,non-travel,673,Research & Development,11,2,other,1,26,1,f,96,4,2,manufacturing director,3,Divorced,4011,8232,0,Y,0,18,3,4,80,1,5,5,2,4,2,1,3
36,1,TRAVEL_RARELY,1218,Sale,9,4,life sciences,,27,3,Male,82,2,1,Sales Rep,1,single,3407,6986,7,Y,0,23,4,2,80,0,10,4,3,5,3,0,3
34,0,rare,419,r&d,7?,4,ls,1,28,1,Female,53,3,3,research director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,,4,3,12,6,2,11
21,No,TRAVEL_RARELY,391,r&d,15,2,Life Sciences,1,30,3,M,96,3,1,research scientist,4,Single,1232,19281,1,Y,no,14,3,4,80,0,0,6,3,0,0,0,0
34,yes,rare,699,,,1,Medical,1,31,2,m,83,3,1,Research scientist,1,Single,2960,17102,2,Y,no,11,3,3,80,0,8,2,3,4,2,1,3
53,0,rare,1282,r&d,5,3,OTHER,1,32,3,Female,58,3,5,MANAGER,3,DIVORCED,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,yes,frequent,,R&D,16,1,LS,1,33,2,Female,72,1,1,research scientist,1_,single,3919,4681,1,Y,yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,rare,691,Sale,8,,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,married,6825,21173,0,Y,No,11,,4,80,1,10,2,3,9,7,4,2
44,No,rare,477,R&D,7,4,MEDICAL,1,36,1,FEMALE,42,2,3,Healthcare Representative,4,married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17_
46,NO,Travel_Rarely,705,sale,2,4,marketing,1,38,2,F,83,3,5,Manager,1,single,18947,,3,Y,no,12,3,4,80,0,22,2,2,2,2,2,1
33,no,travel_rarely,924,research & development,2,3,MEDICAL,1,39,3,m,78,3,1,LABORATORY TECHNICIAN,4,Single,,6670,4,Y,NO,11,,4,,0,7,3,3,1,,0,0_
44,0,Travel_Rarely,1459,R&D,10,4,OTHER,1,40,4,m,41,3,2,healthcare representative,4,Married,6465,19121,2,Y,1,13,3,4,80,0,9_,5,4,4,2,1,3
30,No,rare,125,research & development,9,2,medical,1,41,4,MALE,83,2,1,,3,single,,16117,1,Y,0,13,3,1,80,0,10,5,3,10,0,1,8
39,YES,Travel_Rarely,895,sales,5,3,Technical Degree,1,42,4,m,56,3,2,Sales Rep,4,MARRIED,2086,3335,3,Y,No,14,3,3_,80,1_,19,6,4,1,0,0,0
24,1,rare,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,RESEARCH SCIENTIST,4,Married,2293,3020,2,Y,YES,16,3,,80,1,6,2,2,2,0,2,0
43,NO,travel_rarely,1273,RESEARCH & DEVELOPMENT,2,2,MEDICAL,1,46,4,f,72,4,1,RESEARCH SCIENTIST,3,Divorced,,21923,1,Y,NO,12,3,4,80,2,6,3,2,5,3,1,4
50,Yes,rare,869,sales,3,2,mkt,1,47,1,MALE,86,2,1,SALES REPRESENTATIVE,3,MARRIED,2683,3810,1,Y,yes,14,3,3,80,0,3,2,3,3,2,0,2
35,0,TRAVEL_RARELY,890,Sales,2,3,mkt,1,49,4,F,97,3_,1,sales representative,4,married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
36,NO,travel_rarely,852,RESEARCH & DEVELOPMENT,5,4,LIFE SCIENCES,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,1,14,3,4?,80,1,6,3,4,1,1,0,0
33,0,frequent,1141,Sale,1,3,life sciences,1,52,3,F,42,4,2,Sales Executive,1,MARRIED,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
35_,no,TRAVEL_RARELY,464,research & development,4,2,Other,1,53,3,Male,75,3,1,laboratory technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
27,,TRAVEL_RARELY,1240,r&d,2,4,LIFE SCIENCES,1,54,4,f,33,3,1,LABORATORY TECHNICIAN,1,Divorced,2341,19715,1,Y,0,13,3,4,80,1,1,6,3,1,,0,0
26,YES,TRAVEL_RARELY,1357,RESEARCH & DEVELOPMENT,25,3,LS,1,55,1,Male,48,1,1,lab technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
27,no,frequent,994,Sale,8,3,Life Sciences,1,56,4?,M,37,3,3,Sales Exe,3,Single,8726,2975,1,Y,0,15,3,4,80,0,9,0,3,9,8,1,7
30,0,travel_frequently,721,r&d,1,2,Medical,1,57,3,Female,58,3,2,laboratory technician,4,Single,4011,10781,1,Y,NO,23,4,4,80,0,12,2,3,12,8,3,7
41,YES,rare,1360,r&d,12,3,Technical Degree,1,58,2,F,49,3,5,RESEARCH DIRECTOR,3,married,19545,16280,1,Y,0,12,3,4,80,0,23,0,3,22,15,15,8
34,No,Nil,1065,sales,23,4,MARKETING,1,60,2,m,72,,2,sales executive,3,SINGLE,4568,10034,0,Y,0,20,4,3,80,0,10,2,3,9,5,8,7
37,0,rare,408,r&d,19,2,life sciences,1,61,2,Male,73,3,1,research scientist,2,Married,3022,10227,4,Y,no,21,4,1,80,0,8,1,3,1,0,0,0
46,no,travel_frequently,1211,Sales,5,4,Marketing,1,62,1,MALE,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,yes,21,4,3,80,0,14,4,3,9,6,0,8
35,0,rare,1229,Research & Development,8,1,Life Sciences,1,63,4,M,36,4,1,Lab Technician,4,Married,2269,4892,1,Y,NO,19,3,4,80,0,1,2,3,1,0,0,1
48,Yes,travel_rarely,626,RESEARCH & DEVELOPMENT,1,2,LIFE SCIENCES,1,64,1,MALE,98,2,3,LABORATORY TECHNICIAN,3,Single,5381,19294,,Y,yes,13,3,4,80,0,23,2,,1,0,0,0
28,YES,TRAVEL_RARELY,1434,Research & Development,5,4_,technical degree,1,65,3,m,50,3,1,LABORATORY TECHNICIAN,3,SINGLE,3441,11179,1,,YES,13,3,3,80,0,2,3,2,2,2,2,2
44,NO,Travel_Rarely,1488,sale,1,5?,mkt,,68,2,Female,75,3,2,SALES EXECUTIVE,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,no,nil,1097,research & development,11?,2,MEDICAL,1,70,3,M,79,2,3,healthcare representative,1,married,9884,8302,2,Y,1,13,3,3,80,1,10,3,3,4,0,2,3
26,no,rare,1443,Sale,23,3,MARKETING,1,72,3,F,47,2,2,SALES EXECUTIVE,4,married,4157,21436,7,Y,YES,19,3,3,80,1,5,2,2,2,2,0,0
33,NO,frequent,515,Research & Development,1,2,LIFE SCIENCES,1,73,1,FEMALE,98,3,3,RESEARCH DIRECTOR,4,SINGLE,13458,15146,1,Y,yes,12,3,3,80,0,15,1,3,15,14,8,12
35,No,frequent,853,sales,18?,5,LS,1,74,2,MALE,71?,,3,sales exe,1,MARRIED,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
35,NO,travel_rarely,1142,research & development,23,4,Medical,1,75,3,f,30,3,1,lab technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,NO,rare,655,,7,4,life sciences,1,76,4,M,48,3,2,laboratory technician,4,Divorced,5915,9528,3,Y,0,22,4,4,80,1,10,3,2,7,7,1,7
37,No,rare,1115,Research & Development,1,4,LIFE SCIENCES,1,77,1,m,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,,80,1,7,2,4,7,5,0,7
32,No,rare,427,Research & Development,1,3,MED,1,78,1,MALE,33,3,2,manufacture director,4,married,6162,10877,1,Y,yes,22,4,2,80,1,9,3,3,9,8,7,8
38,NO,frequent,653,r&d,29,5,life sciences,1,79,4,f,50_,3,2_,Laboratory Technician,4?,SINGLE,2406,5456,1,Y,NO,11,3,4,80,0,10,2,3,10,3,9,9
50,0,TRAVEL_RARELY,989,R&D,7,2,MEDICAL,1,80,2,F,43,2,5,Research Director,3,Divorced,18740,16701,5,,,12,3,4,80,1,29,2,2,27,3,13,8
59,No,rare,1435,Sales,25,3,LIFE SCIENCES,1,81,1,Female,99,3,3,Sales Executive,1,SINGLE,7637,2354,7,Y,NO,11,3,4,80,0,28,3,2,21,16,7,9
36,No,rare,1223,RESEARCH & DEVELOPMENT,8,3,TECHNICAL DEGREE,1,83,3,FEMALE,59,3,3,healthcare representative,3,DIVORCED,10096,8202,1,Y,,13,3,2,80,,17,2,3,17,14,12,8
55,NO,Travel_Rarely,836,RESEARCH & DEVELOPMENT,8,3,MED,1,84,4,F,33,,4,manager,3,DIVORCED,14756,19730,2,Y,YES,14,3,3,80,3,21,2,3,5,0,0,2
36,0,frequent,1195,,11,3,life sciences,1,85,2,MALE,95,2,2,MANUFACTURING DIRECTOR,2?,single,6499,22656,1_,Y,no,13,3,3,80,0,6,3,3,6,5,0,3
45,no,rare,1339,RESEARCH & DEVELOPMENT,7,3,,1,86,2,M,59,3,3,research scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,,0,0,0
35?,No,TRAVEL_FREQUENTLY,664,Research & Development,1,3,Medical,1,88,2,m,79,3,1,research scientist,1,married,2194,5868,4,Y,0,13,3,4_,80,1,5,2,2,3,2,1,2
36,1,rare,318,research & development,9,3,MEDICAL,1,,4,M,79,2,1,research scientist,3,married,3388,21777,0,Y,yes,17,3,1,80,1,2,0,2,1,0,0,0
59,0,frequent,1225,Sale,1,1,LIFE SCIENCES,1,91,1,FEMALE,57,2,2,Sales Exe,3,SINGLE,5473,24668,7,Y,no,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,life sciences,1,94,3,Male,76,3,1,Research Scientist,2,married,2703,4956,0,Y,0,23,4,4,80,1,6,3,3,5,4,0,4
31,No,TRAVEL_RARELY,1082,r&d,1,4,MED,1,95,3,MALE,87,,1,Research scientist,,SINGLE,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
32,NO,rare,548,research & development,1,3,life sciences,1,96,2,m,66,3,,Research Scientist,2,Married,6220,7346,1,Y,no,17,3,2,80,2,10,3,3,10,4,0,9
36,0,TRAVEL_RARELY,132,RESEARCH & DEVELOPMENT,6,3,LS,1,97,2,F,55,4,1,Lab Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
31,NO,Travel_Rarely,746?,RESEARCH & DEVELOPMENT,8_,4,ls,,98,3,F,61,3,2,MANUFACTURING DIRECTOR,4,SINGLE,4424,20682,1,Y,No,23_,4,4,80,0,11,2?,3,11,7,1,8
35_,0,rare,776,Sales,1,4,Marketing,1,100,3,,32,,2,Sales Exe,1,Single,4312,23016,0,Y,no,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,R&D,6,4,other,1,101,4,Male,52,3,3,Research Director,1,married,13245,15067,4,Y,1,14,3,2,80,,17,3,4,0,0,0,0
37,no,rare,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,single,13664,25258,4,Y,no,13,3,1,80,0,16,3,4,5,2,0,2
46,No,travel_rarely,945,Human Resources,5,2,med,1,103,2,m,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,yes,22,4,4,80,1,16,2,3,4,2,0,2
30,NO,Travel_Rarely,852,Research & Development,1,1,LS,1,104,4,m,55,2,2,laboratory technician,4,Married,5126,15998,1,Y,1,12,3,3,80,2,10,1,2,10,8,3,0
35,no,rare,1214,RESEARCH & DEVELOPMENT,1,3,Medical,1,105,2,MALE,30,2,1,RESEARCH SCIENTIST,3,SINGLE,2859,,1,Y,no,18,3,1,80,0,6,3,3,6,4,0,4
55,0,travel_rarely,111,Sales,1,2,LS,1,106,1,M,70,3,3,Sales Executive,4,MARRIED,10239,18092,3,Y,no,14,3,4,80,1,24,4,3,1,0,1,0
